ANO,MES,DIA,HORA,DIA_SEMANA,ESTACION,SO2,NO2,PM2.5,PM10,O3,TEMPERATURA,PRECIPITACION,DIR_VIENTO,VEL_VIENTO,ICA_SO2,ICA_PM10,ICA_O3,ICA_NO2,ICA
2022.0,1.0,4.0,13,Martes,8.0,3.0,45.0,21.0,25.0,21.96,8.6,7.3,10.06,2.61,2.4,50.0,18.3,112.5,45.8
2022.0,1.0,4.0,14,Martes,8.0,4.0,50.0,12.0,18.0,20.69,8.6,7.3,10.06,2.61,3.2,36.0,17.24,125.0,45.36
2022.0,1.0,4.0,15,Martes,8.0,3.0,46.0,7.0,13.0,20.28,8.6,7.3,10.06,2.61,2.4,26.0,16.9,115.0,40.08
2022.0,1.0,4.0,16,Martes,8.0,3.0,38.0,9.0,15.0,27.23,8.6,7.3,10.06,2.61,2.4,30.0,22.69,95.0,37.52
2022.0,1.0,4.0,17,Martes,8.0,3.0,41.0,6.0,8.0,40.9,8.6,7.3,10.06,2.61,2.4,16.0,34.08,102.5,38.74
2022.0,1.0,4.0,18,Martes,8.0,3.0,37.0,1.0,2.0,49.44,8.6,7.3,10.06,2.61,2.4,4.0,41.2,92.5,35.02
2022.0,1.0,4.0,19,Martes,8.0,3.0,31.0,8.0,8.0,54.92,8.6,7.3,10.06,2.61,2.4,16.0,45.77,77.5,35.42
2022.0,1.0,4.0,20,Martes,8.0,3.0,34.0,1.0,3.0,50.95,8.6,7.3,10.06,2.61,2.4,6.0,42.46,85.0,33.97
2022.0,1.0,4.0,21,Martes,8.0,3.0,26.0,1.0,1.0,55.66,8.6,7.3,10.06,2.61,2.4,2.0,46.38,65.0,28.94
2022.0,1.0,4.0,22,Martes,8.0,3.0,21.0,1.0,1.0,58.28,8.6,7.3,10.07,2.61,2.4,2.0,48.57,52.5,26.37
2022.0,1.0,4.0,23,Martes,8.0,3.0,31.0,4.0,5.0,45.56,8.6,7.3,10.07,2.61,2.4,10.0,37.97,77.5,31.97
2022.0,1.0,5.0,0,Miercoles,8.0,3.0,18.0,1.0,1.0,58.43,6.6,5.0,10.26,2.62,2.4,2.0,48.69,45.0,24.52
2022.0,1.0,5.0,1,Miercoles,8.0,3.0,12.0,6.0,5.0,64.69,6.6,5.0,10.26,2.62,2.4,10.0,53.91,30.0,24.08
2022.0,1.0,5.0,2,Miercoles,8.0,3.0,13.0,3.0,3.0,63.23,6.6,5.0,10.26,2.62,2.4,6.0,52.69,32.5,23.4
2022.0,1.0,5.0,3,Miercoles,8.0,3.0,10.0,17.0,15.0,63.7,6.6,5.0,10.27,2.62,2.4,30.0,53.08,25.0,27.62
2022.0,1.0,5.0,4,Miercoles,8.0,3.0,13.0,2.0,2.0,58.55,6.6,5.0,10.27,2.62,2.4,4.0,48.79,32.5,21.92
2022.0,1.0,5.0,5,Miercoles,8.0,3.0,13.0,3.0,4.0,61.02,6.6,5.0,10.27,2.62,2.4,8.0,50.85,32.5,23.44
2022.0,1.0,5.0,6,Miercoles,8.0,3.0,25.0,3.0,4.0,51.22,6.6,5.0,10.27,2.62,2.4,8.0,42.68,62.5,28.9
2022.0,1.0,5.0,7,Miercoles,8.0,3.0,40.0,1.0,1.0,37.34,6.6,5.0,10.27,2.62,2.4,2.0,31.12,100.0,33.88
2022.0,1.0,5.0,8,Miercoles,8.0,3.0,46.0,2.0,4.0,30.6,6.6,5.0,10.27,2.62,2.4,8.0,25.5,115.0,37.72
