nombreEmision,Unidad,tipo_dato,dato,year,valor,Textbox5
Sustancias acidificantes,Equivalentes en ácido x 10^6,Pauta,Pauta rural,2017,951,
Sustancias acidificantes,Equivalentes en ácido x 10^6,Pauta,Pauta rural,2018,919,
Sustancias acidificantes,Equivalentes en ácido x 10^6,Pauta,Pauta rural,2019,880,
Sustancias acidificantes,Equivalentes en ácido x 10^6,Pauta,Pauta rural,2020,728,
Sustancias acidificantes,Equivalentes en ácido x 10^6,Pauta,Pauta urbana,2014,2.510,
Sustancias acidificantes,Equivalentes en ácido x 10^6,Pauta,Pauta urbana,2015,2.554,
Sustancias acidificantes,Equivalentes en ácido x 10^6,Pauta,Pauta urbana,2016,2.588,
Sustancias acidificantes,Equivalentes en ácido x 10^6,Pauta,Pauta urbana,2017,2.584,
Sustancias acidificantes,Equivalentes en ácido x 10^6,Pauta,Pauta urbana,2018,2.516,
Sustancias acidificantes,Equivalentes en ácido x 10^6,Pauta,Pauta urbana,2019,2.479,
Sustancias acidificantes,Equivalentes en ácido x 10^6,Pauta,Pauta urbana,2020,1.969,
Precursores del ozono troposférico,Toneladas equivalentes de COVNM,Vehículo,Turismos,2014,233.363,449.305
Precursores del ozono troposférico,Toneladas equivalentes de COVNM,Vehículo,Turismos,2015,232.580,448.394
Precursores del ozono troposférico,Toneladas equivalentes de COVNM,Vehículo,Turismos,2016,233.537,438.866
Precursores del ozono troposférico,Toneladas equivalentes de COVNM,Vehículo,Turismos,2017,232.777,430.468
Precursores del ozono troposférico,Toneladas equivalentes de COVNM,Vehículo,Turismos,2018,235.817,420.459
Precursores del ozono troposférico,Toneladas equivalentes de COVNM,Vehículo,Turismos,2019,235.069,409.176
Precursores del ozono troposférico,Toneladas equivalentes de COVNM,Vehículo,Turismos,2020,183.578,319.169
Precursores del ozono troposférico,Toneladas equivalentes de COVNM,Vehículo,"Furgonetas < 3,5 t",2014,35.355,449.305
Precursores del ozono troposférico,Toneladas equivalentes de COVNM,Vehículo,"Furgonetas < 3,5 t",2015,36.994,448.394
Precursores del ozono troposférico,Toneladas equivalentes de COVNM,Vehículo,"Furgonetas < 3,5 t",2016,35.200,438.866
Precursores del ozono troposférico,Toneladas equivalentes de COVNM,Vehículo,"Furgonetas < 3,5 t",2017,38.113,430.468
Precursores del ozono troposférico,Toneladas equivalentes de COVNM,Vehículo,"Furgonetas < 3,5 t",2018,37.065,420.459
Precursores del ozono troposférico,Toneladas equivalentes de COVNM,Vehículo,"Furgonetas < 3,5 t",2019,37.387,409.176
Precursores del ozono troposférico,Toneladas equivalentes de COVNM,Vehículo,"Furgonetas < 3,5 t",2020,23.069,319.169
Precursores del ozono troposférico,Toneladas equivalentes de COVNM,Vehículo,"Camiones >= 3,5 t y autobuses",2014,150.180,449.305
Precursores del ozono troposférico,Toneladas equivalentes de COVNM,Vehículo,"Camiones >= 3,5 t y autobuses",2015,150.367,448.394
Precursores del ozono troposférico,Toneladas equivalentes de COVNM,Vehículo,"Camiones >= 3,5 t y autobuses",2016,142.433,438.866
Precursores del ozono troposférico,Toneladas equivalentes de COVNM,Vehículo,"Camiones >= 3,5 t y autobuses",2017,132.680,430.468
Precursores del ozono troposférico,Toneladas equivalentes de COVNM,Vehículo,"Camiones >= 3,5 t y autobuses",2018,121.715,420.459
Precursores del ozono troposférico,Toneladas equivalentes de COVNM,Vehículo,"Camiones >= 3,5 t y autobuses",2019,109.775,409.176
Precursores del ozono troposférico,Toneladas equivalentes de COVNM,Vehículo,"Camiones >= 3,5 t y autobuses",2020,94.834,319.169
Precursores del ozono troposférico,Toneladas equivalentes de COVNM,Vehículo,Motos,2014,26.717,449.305
Precursores del ozono troposférico,Toneladas equivalentes de COVNM,Vehículo,Motos,2015,24.765,448.394
Precursores del ozono troposférico,Toneladas equivalentes de COVNM,Vehículo,Motos,2016,24.209,438.866
Precursores del ozono troposférico,Toneladas equivalentes de COVNM,Vehículo,Motos,2017,23.193,430.468
Precursores del ozono troposférico,Toneladas equivalentes de COVNM,Vehículo,Motos,2018,22.472,420.459
Precursores del ozono troposférico,Toneladas equivalentes de COVNM,Vehículo,Motos,2019,23.282,409.176
Precursores del ozono troposférico,Toneladas equivalentes de COVNM,Vehículo,Motos,2020,14.559,319.169
Precursores del ozono troposférico,Toneladas equivalentes de COVNM,Vehículo,Otras emisiones,2014,3.690,449.305
Precursores del ozono troposférico,Toneladas equivalentes de COVNM,Vehículo,Otras emisiones,2015,3.688,448.394
Precursores del ozono troposférico,Toneladas equivalentes de COVNM,Vehículo,Otras emisiones,2016,3.487,438.866
Precursores del ozono troposférico,Toneladas equivalentes de COVNM,Vehículo,Otras emisiones,2017,3.705,430.468
Precursores del ozono troposférico,Toneladas equivalentes de COVNM,Vehículo,Otras emisiones,2018,3.391,420.459
Precursores del ozono troposférico,Toneladas equivalentes de COVNM,Vehículo,Otras emisiones,2019,3.663,409.176
Precursores del ozono troposférico,Toneladas equivalentes de COVNM,Vehículo,Otras emisiones,2020,3.130,319.169
Precursores del ozono troposférico,Toneladas equivalentes de COVNM,Pauta,Pauta interurbana,2014,207.526,
Precursores del ozono troposférico,Toneladas equivalentes de COVNM,Pauta,Pauta interurbana,2015,207.266,
Precursores del ozono troposférico,Toneladas equivalentes de COVNM,Pauta,Pauta interurbana,2016,201.676,
Precursores del ozono troposférico,Toneladas equivalentes de COVNM,Pauta,Pauta interurbana,2017,196.815,
